date,FL154090005.Q,FL144090005.Q,FL314090005.Q,FL214090005.Q,FL384090005.Q,FL794090005.Q,FL264090005.Q,FL894090005.Q,FL907005015.Q,FL154190005.Q,FL144194005.Q,FL314190005.Q,FL214190005.Q,FL384194005.Q,FL794194005.Q,FL264194005.Q,FL894194005.Q,FL154190005.Q,FL144190005.Q,FL314190005.Q,FL214190005.Q,FL384190005.Q,FL794190005.Q,FL264190005.Q,FL894190005.Q,FL313011005.Q,FL313111303.Q,FL313011005.Q,FL313111303.Q,FL713011005.Q,FL263011005.Q,FL263111005.Q,FL893011005.Q,FL893111005.Q,FL903011005.Q,FL713014003.Q,FL713014003.Q,FL713014003.Q,FL713014003.Q,FL713014003.Q,FL313112003.Q,FL313112003.Q,FL713012003.Q,FL713012003.Q,FL313112003.Q,FL903012005.Q,FL153091003.Q,FL103091003.Q,FL383091005.Q,FL633091003.Q,FL263191005.Q,FL893091005.Q,FL263191005.Q,FL903091005.Q,FL794010005.Q,FL794110005.Q,FL264016005.Q,FL894010005.Q,FL794110005.Q,FL904010005.Q,FL153020005.Q,FL143020005.Q,FL313020005.Q,FL213020005.Q,FL383020005.Q,FL793020005.Q,FL793120005.Q,FL263020005.Q,FL893020005.Q,FL793120005.Q,FL903020005.Q,FL153030005.Q,FL143030005.Q,FL313030003.Q,FL213030000.Q,FL383030005.Q,FL793030005.Q,FL703130005.Q,FL263030005.Q,FL703130005.Q,FL703130005.Q,FL153034005.Q,FL143034005.Q,FL213034003.Q,FL383034005.Q,FL793034005.Q,FL634090005.Q,FL263034003.Q,FL634090005.Q,FL634090005.Q,FL102051003.Q,FL212051003.Q,FL382051005.Q,FL792050005.Q,FL792150005.Q,FL262051005.Q,FL262151003.Q,FL892050005.Q,FL892150005.Q,FL902050005.Q,FL154022005.Q,FL163162003.Q,FL144022005.Q,FL104122005.Q,FL314022005.Q,FL314122005.Q,FL214022005.Q,FL213162005.Q,FL384022005.Q,FL384122005.Q,FL794022005.Q,FL794122005.Q,FL264022005.Q,FL264122005.Q,FL894022005.Q,FL894122005.Q,FL904022005.Q,FL103069100.Q,FL103169100.Q,FL213069103.Q,FL383069105.Q,FL103169100.Q,FL793069175.Q,FL793169175.Q,FL263069103.Q,FL263169105.Q,FL893169175.Q,FL893169175.Q,FL153061105.Q,FL143061105.Q,FL313161105.Q,FL213061105.Q,FL383061105.Q,FL313161105.Q,FL793061105.Q,FL263061105.Q,FL893061105.Q,FL313161105.Q,FL903061103.Q,FL153061705.Q,FL103061703.Q,FL313061703.Q,FL313161705.Q,FL213061703.Q,FL383061705.Q,FL313161705.Q,FL793061705.Q,FL423161705.Q,FL263061705.Q,FL893061705.Q,FL893161705.Q,FL903061703.Q,FL153062005.Q,FL163162003.Q,FL143062005.Q,FL103162000.Q,FL213062003.Q,FL213162005.Q,FL383062005.Q,FL383162005.Q,FL793062005.Q,FL263062003.Q,FL893062005.Q,FL383162005.Q,FL903062003.Q,FL153063005.Q,FL103163003.Q,FL313063763.Q,FL213063003.Q,FL383063005.Q,FL103163003.Q,FL793063005.Q,FL793163005.Q,FL263063005.Q,FL263163005.Q,FL893063005.Q,FL893163005.Q,FL903063003.Q,FL154023005.Q,FL154123005.Q,FL144023005.Q,FL144123005.Q,FL314023005.Q,FL314123005.Q,FL213065005.Q,FL213169203.Q,FL384023005.Q,FL384123005.Q,FL794023005.Q,FL794123005.Q,FL263069500.Q,FL264123005.Q,FL894123005.Q,FL894123005.Q,FL153168005.Q,FL143168005.Q,FL383168005.Q,FL793068005.Q,FL793168005.Q,FL263168005.Q,FL793068005.Q,FL793068005.Q,FL153069005.Q,FL153169005.Q,FL143169005.Q,FL313069005.Q,FL313169003.Q,FL213169203.Q,FL383069005.Q,FL383169005.Q,FL793069005.Q,FL793169005.Q,FL263069500.Q,FL263169005.Q,FL893169005.Q,FL893169005.Q,FL153065005.Q,FL153165005.Q,FL143065005.Q,FL143165005.Q,FL313065005.Q,FL313165403.Q,FL213065005.Q,FL383065005.Q,FL383165005.Q,FL793065005.Q,FL123165005.Q,FL893065005.Q,FL893065005.Q,FL163066223.Q,FL153166000.Q,FL143066005.Q,FL313066220.Q,FL383066005.Q,FL153166000.Q,FL793066005.Q,FL153166000.Q,FL153166000.Q,FL153064105.Q,LM103064103.Q,LM103164103.Q,FL313064105.Q,FL213064103.Q,FL383064105.Q,FL103164103.Q,FL793064105.Q,FL793164105.Q,FL263064105.Q,FL263164100.Q,FL893064105.Q,FL893064105.Q,FL153064205.Q,FL103064203.Q,FL213064203.Q,FL383064205.Q,FL793064205.Q,FL653164205.Q,FL263064203.Q,FL653164205.Q,FL653164205.Q,FL163070005.Q,FL163170005.Q,FL143070005.Q,FL143170005.Q,FL313070000.Q,FL313170005.Q,FL213070003.Q,FL213170003.Q,FL383070005.Q,FL383170005.Q,FL793070005.Q,FL793170005.Q,FL263070005.Q,FL263170005.Q,FL893070005.Q,FL893170005.Q,FL903070005.Q,FL153040005.Q,FL313140003.Q,FL153040005.Q,FL313140003.Q,FL793040005.Q,FL543140005.Q,FL543141905.Q,FL263140005.Q,FL893140005.Q,FL893140005.Q,FL153050005.Q,FL153050005.Q,FL543050005.Q,FL583150005.Q,FL543151905.Q,FL263150005.Q,FL893150005.Q,FL893150005.Q,FL143178005.Q,FL313078000.Q,FL213078005.Q,FL383078005.Q,FL143178005.Q,FL793178005.Q,FL893078005.Q,FL893178005.Q,FL903078005.Q,FL152090205.Q,FL112090205.Q,FL152090205.Q,FL112090205.Q,FL662090003.Q,FL152090205.Q,FL152090205.Q,FL103092305.Q,FL103092305.Q,FL793092305.Q,FL263192305.Q,FL263192305.Q,FL263192305.Q,FL103092105.Q,FL103092105.Q,FL793092105.Q,FL263192101.Q,FL263192101.Q,FL263192101.Q,FL143192305.Q,FL143192305.Q,FL793192305.Q,FL263092303.Q,FL263092303.Q,FL263092303.Q,FL143192105.Q,FL143192105.Q,FL793192105.Q,FL263092101.Q,FL263092101.Q,FL263092101.Q,FL153090005.Q,FL543077073.Q,FL143090005.Q,FL143190005.Q,FL313090005.Q,FL313190005.Q,FL213093003.Q,FL223073045.Q,FL383090005.Q,FL383190005.Q,FL793090005.Q,FL793190005.Q,FL263076005.Q,FL263190005.Q,FL893090005.Q,FL893190005.Q,FL903090005.Q
1965:Q1,2079137,273628,61956,51726,2466448,1233312,56567,3756327,-5053,326864,1434398,465438,171315,2398015,1258090,95168,3751273,326864,406316,465438,171315,1369933,1158300,45715,2573948,939,0,939,0,14890,0,1191,15829,1191,-14638,0,0,0,0,0,2864,2864,5234,5234,2864,-2370,0,1033,1033,0,1033,1033,1033,0,23340,19957,2137,25477,19957,-5520,82442,47544,10202,9817,150005,5918,173982,8010,163933,173982,10049,268791,7704,260,10450,287205,3069,295943,5669,295943,295943,0,0,0,0,0,0,0,0,0,280,-848,-568,3600,2689,0,0,3032,2689,-343,120460,0,21054,94189,18,276404,22816,94661,164348,465254,333614,40435,16492,8765,514454,514454,0,995,847,0,995,847,9655,11688,1885,0,12535,12535,76555,14092,274096,17597,108244,274096,153314,12538,274096,274096,0,21,1078,18,2308,2998,4115,2308,9833,12732,1092,15040,15040,0,33771,0,4889,0,2221,94661,40881,94661,53780,0,94661,94661,0,10113,93342,0,0,10113,93342,107032,16015,977,8765,118122,118122,0,41419,320497,14988,186459,35386,1850,2574,2523,94367,511329,462514,20197,0,25355,556881,556881,4309,65429,69738,91087,16179,5170,91087,91087,-756,14930,23762,29547,0,2523,28791,41215,36627,4018,0,20185,65418,65418,42175,213613,86,97268,5839,1850,2574,50674,312731,262057,0,312731,312731,0,87645,14902,0,14902,87645,72743,87645,87645,543745,14085,559834,0,0,557830,559834,91519,98249,13914,5180,663263,663263,29751,270,0,30021,444,30465,0,30465,30465,0,3270,119045,96441,2770,4483,5903,12258,127718,116452,2523,360,2016,2518,132257,119330,-12927,102149,6910,102149,6910,0,95239,0,0,102149,102149,409720,409720,0,409720,0,0,409720,409720,15891,7081,744,7825,15891,1658,7825,17549,9724,463179,463179,463179,463179,0,463179,463179,1718,1718,73,1791,1791,1791,42446,42446,1827,44273,44273,44273,1319,1319,400,1719,1719,1719,5069,5069,1541,6610,6610,6610,17481,3097,3462,12018,5300,172927,270,61873,26513,249915,284747,67255,0,5062,311260,322232,10972
1965:Q2,2077177,279200,65393,53178,2474948,1264321,56337,3795606,-5929,336469,1429572,466122,175552,2407715,1284868,97094,3789677,336469,416985,466122,175552,1395128,1189745,46603,2631476,1677,0,1677,0,14344,0,1713,16021,1713,-14308,0,0,0,0,0,2901,2901,5256,5256,2901,-2355,0,822,822,0,822,822,822,0,25202,22637,2489,27691,22637,-5054,82729,48384,13387,9525,154025,5935,179426,7984,167944,179426,11482,275058,8601,260,10573,294492,3179,303524,5853,303524,303524,0,0,0,0,0,0,0,0,0,198,0,198,3038,2290,0,0,3236,2290,-946,120223,0,19512,95668,25,273954,23272,96858,163032,466480,338295,42209,16197,8835,517524,517524,0,678,727,0,678,727,10354,12164,1859,0,12891,12891,76144,12320,271988,17987,106451,271988,153251,12286,271988,271988,0,618,1059,25,1966,3078,4780,1966,9974,13964,1176,15930,15930,0,33792,0,5455,0,2207,96858,41454,96858,55404,0,96858,96858,0,9669,94941,0,0,9669,94941,109312,16081,876,8835,119857,119857,0,41802,329929,15787,193712,36062,1876,2622,2655,96273,528172,481869,24285,0,25685,578142,578142,4292,69066,73358,97692,19377,4957,97692,97692,-678,15156,24750,30336,0,2655,29658,42561,38539,4908,0,20728,68197,68197,42480,218238,86,99896,5726,1876,2622,50914,320010,269096,0,320010,320010,0,92243,15701,0,15701,92243,76542,92243,92243,520804,13763,539451,0,0,534567,539451,90008,93594,13279,4809,637854,637854,29291,289,0,29580,457,30037,0,30037,30037,0,3380,121892,98788,2898,4531,6070,12596,130860,119295,2561,360,2216,2543,135637,122198,-13439,103382,6944,103382,6944,0,96438,0,0,103382,103382,418000,418000,0,418000,0,0,418000,418000,15316,5695,834,6529,15316,1477,6529,16793,10264,468063,468063,468063,468063,0,468063,468063,1773,1773,76,1849,1849,1849,43805,43805,1877,45682,45682,45682,1320,1320,397,1717,1717,1717,5073,5073,1529,6602,6602,6602,17824,3160,4375,12181,5389,175916,282,63443,27870,254700,292224,68665,0,5156,320094,328521,8427
1965:Q3,2153078,285475,62579,54926,2556059,1285686,58131,3899876,-5526,343385,1492278,468970,179597,2484230,1311434,98686,3894350,343385,427213,468970,179597,1419165,1209170,46997,2675332,1306,0,1306,0,14674,0,1796,15980,1796,-14184,0,0,0,0,0,2949,2949,5316,5316,2949,-2367,0,892,892,0,892,892,892,0,24695,22077,2364,27059,22077,-4982,88745,47468,9080,9243,154536,6002,177326,8254,168792,177326,8534,280622,9212,250,11049,301133,3296,310388,5959,310388,310388,0,0,0,0,0,0,0,0,0,336,539,875,3685,3221,0,0,4560,3221,-1339,121773,0,19162,97560,47,273152,23988,98905,164970,469617,339747,42691,16568,8977,521285,521285,0,893,926,0,893,926,10377,12284,1940,0,13210,13210,75984,11829,270884,18760,106573,270884,151804,12507,270884,270884,0,909,1254,47,2268,3039,5249,2268,10281,14522,1260,16790,16790,0,34915,0,5186,0,2189,98905,42290,98905,56615,0,98905,98905,0,9965,96634,0,0,9965,96634,110670,15885,861,8977,121496,121496,0,41843,336667,15801,197283,36546,1861,2667,2719,96857,538530,490455,23105,0,25677,587312,587312,3929,70461,74390,97101,17722,4989,97101,97101,-548,15215,24420,30789,0,2719,30241,42354,38184,5383,0,20688,68425,68425,42391,223132,86,102402,5757,1861,2667,50901,327395,276494,0,327395,327395,0,94391,15715,0,15715,94391,78676,94391,94391,566354,14731,587928,0,0,581085,587928,98337,100749,14296,5041,693718,693718,32050,309,0,32359,466,32825,0,32825,32825,0,3490,127680,102164,3096,4790,6291,12951,137067,123395,2602,370,2222,2497,141891,126262,-15629,104656,6979,104656,6979,0,97677,0,0,104656,104656,426921,426921,0,426921,0,0,426921,426921,16329,6756,830,7586,16329,1707,7586,18036,10450,471930,471930,471930,471930,0,471930,471930,1809,1809,79,1888,1888,1888,44718,44718,1930,46648,46648,46648,1352,1352,395,1747,1747,1747,5206,5206,1515,6721,6721,6721,18184,3228,3357,12526,5498,179239,319,65022,27358,260015,294402,70467,0,5270,321760,335752,13991
1965:Q4,2224494,299012,63430,56894,2643830,1324176,59099,4027105,5317,352786,1557701,479162,183189,2572838,1353509,106076,4032423,352786,443594,479162,183189,1458731,1245931,47773,2752435,1396,0,1396,0,14313,0,1644,15709,1644,-14065,0,0,0,0,0,3064,3064,5419,5419,3064,-2355,0,781,781,0,781,781,781,0,25642,21657,1753,27395,21657,-5738,91520,51276,6750,10151,159697,6454,189131,8509,174660,189131,14471,288514,8993,250,12186,309943,3417,319441,6081,319441,319441,0,0,0,0,0,0,0,0,0,593,-708,-115,3635,2458,0,0,3520,2458,-1062,121426,0,19756,98057,45,279407,24791,100397,166018,477861,346967,43374,17385,9135,530370,530370,0,1370,797,0,1370,797,9374,11929,1982,0,12726,12726,74762,12548,276737,19524,106834,276737,156847,13056,276737,276737,0,1132,1238,45,2670,3100,5515,2670,10526,14715,1344,17385,17385,0,36531,0,4600,0,2167,100397,43298,100397,57099,0,100397,100397,0,9001,97260,0,0,9001,97260,113121,16730,1003,9135,123125,123125,0,42301,345863,17354,205730,37540,1845,2713,2777,99908,556215,509253,26776,0,26170,609161,609161,4707,75187,79894,105630,20753,4983,105630,105630,-310,15956,25589,31686,0,2777,31376,44322,40156,6023,0,21187,71532,71532,42611,227711,88,104954,5854,1845,2713,51266,334510,283244,0,334510,334510,0,97489,17266,0,17266,97489,80223,97489,97489,600948,15148,623812,0,0,616096,623812,104228,106063,14599,5048,734923,734923,34410,330,0,34740,480,35220,0,35220,35220,0,3620,128822,107342,3122,5048,6603,13314,138547,129324,2649,370,2240,2669,143436,132363,-11073,105876,7013,105876,7013,0,98863,0,0,105876,105876,435921,435921,0,435921,0,0,435921,435921,18294,8880,851,9731,18294,1786,9731,20080,10349,485038,485038,485038,485038,0,485038,485038,2074,2074,81,2155,2155,2155,51270,51270,1985,53255,53255,53255,1368,1368,393,1761,1761,1761,5256,5256,1515,6771,6771,6771,18540,3303,2615,12803,5447,182785,307,66701,26909,265592,299653,70541,0,5219,326562,341352,14791
1966:Q1,2229394,301580,63821,58101,2652896,1337541,58696,4049133,-1002,355964,1550854,483449,186785,2577052,1363735,107344,4048131,355964,451479,483449,186785,1477677,1258926,48259,2784862,1233,0,1233,0,13793,0,1288,15026,1288,-13738,0,0,0,0,0,3242,3242,5580,5580,3242,-2338,0,884,884,0,884,884,884,0,25378,21623,2020,27398,21623,-5775,89949,46170,6716,10473,153308,6074,180270,8594,167976,180270,12294,294109,9886,250,12244,316489,3543,326323,6291,326323,326323,0,0,0,0,0,0,0,0,0,512,-265,247,3655,2416,0,0,3902,2416,-1486,128182,0,20617,101043,67,279974,25074,101842,173940,482859,348107,46516,16822,9494,538869,538869,0,2375,820,0,2375,820,10085,13636,1996,0,14456,14456,78944,12958,276864,19835,111737,276864,152938,12189,276864,276864,0,1843,1216,67,3110,3098,6224,3110,11217,15759,1428,18869,18869,0,37666,0,4068,0,2141,101842,43875,101842,57967,0,101842,101842,0,9729,100223,0,0,9729,100223,115900,17121,1209,9494,126838,126838,0,41956,348849,15966,211557,38729,1830,2758,2823,99409,565059,516462,24299,0,26513,615871,615871,3546,76787,80333,104231,19018,4880,104231,104231,-644,16409,27139,32660,0,2823,32016,46371,41269,5281,0,21633,73285,73285,42600,231798,93,107631,6069,1830,2758,51520,341259,289739,0,341259,341259,0,97096,15873,0,15873,97096,81223,97096,97096,580915,15646,606267,0,0,596561,606267,103831,103306,14027,4846,714419,714419,35326,351,0,35677,496,36173,0,36173,36173,0,3730,132773,106283,3330,5035,6616,13684,142719,128732,2704,380,2285,2757,147708,131869,-15839,107049,7042,107049,7042,0,100007,0,0,107049,107049,445272,445272,0,445272,0,0,445272,445272,18132,8088,892,8980,18132,2130,8980,20262,11282,487739,487739,487739,487739,0,487739,487739,2112,2112,83,2195,2195,2195,52197,52197,2042,54239,54239,54239,1394,1394,392,1786,1786,1786,5368,5368,1503,6871,6871,6871,18897,3385,4465,13071,5408,186326,309,68436,29079,271218,305793,73125,0,5128,334872,349471,14598
1966:Q2,2235768,306930,67351,59433,2669482,1370189,58496,4098167,-3590,365660,1550911,483581,191604,2591756,1393300,109520,4094576,365660,462694,483581,191604,1503539,1291743,49204,2844486,1103,0,1103,0,13855,0,1429,14958,1429,-13529,0,0,0,0,0,3543,3543,5822,5822,3543,-2279,0,917,917,0,917,917,917,0,26042,23482,2157,28199,23482,-4717,88870,46966,13162,10625,159623,6053,188986,8713,174389,188986,14597,299561,9708,240,12634,322143,3671,332311,6497,332311,332311,0,0,0,0,0,0,0,0,0,439,0,439,3901,2364,0,0,4340,2364,-1976,129939,0,19245,103651,106,276740,25328,104141,174618,484532,352021,49535,17057,9629,543696,543696,0,2473,861,0,2473,861,9951,13684,2121,0,14545,14545,76488,11330,272111,20346,108164,272111,152313,11634,272111,272111,0,4946,1382,106,4629,2863,9297,4629,12233,18413,1512,23042,23042,0,38778,0,4060,0,2119,104141,44957,104141,59184,0,104141,104141,0,9727,102790,0,0,9727,102790,118340,17438,1790,9629,129857,129857,0,43122,358365,16721,220852,39376,1815,2805,2910,102024,583942,536601,27733,0,26950,638625,638625,5292,82205,87497,113634,21255,4882,113634,113634,-305,17016,27890,33095,0,2910,32790,47816,43572,6478,0,22068,76362,76362,43427,235852,100,110757,6281,1815,2805,52613,348424,295811,0,348424,348424,0,100205,16621,0,16621,100205,83584,100205,100205,555299,15829,581050,0,0,571128,581050,101632,100041,12923,4592,685683,685683,34547,370,0,34917,512,35429,0,35429,35429,0,3820,136705,107913,3493,5130,6750,14062,146948,130925,2766,390,2376,2806,152090,134121,-17969,108190,7070,108190,7070,0,101120,0,0,108190,108190,455359,455359,0,455359,0,0,455359,455359,15594,4335,917,5252,15594,1516,5252,17110,11858,501720,501720,501720,501720,0,501720,501720,2169,2169,86,2255,2255,2255,53625,53625,2099,55724,55724,55724,1415,1415,395,1810,1810,1810,5447,5447,1516,6963,6963,6963,19161,3475,4236,13270,5536,189283,374,70491,29307,276519,315128,73123,0,5218,344435,354860,10425
1966:Q3,2202828,311605,65573,60086,2640092,1377277,58787,4076156,-10623,369551,1509241,489402,195629,2563823,1391174,110537,4065534,369551,472872,489402,195629,1527454,1301284,49540,2878278,1070,0,1070,0,13806,0,1520,14876,1520,-13356,0,0,0,0,0,3740,3740,5930,5930,3740,-2190,0,932,932,0,932,932,932,0,26526,26507,3446,29972,26507,-3465,91803,45828,8758,9614,156003,6050,182594,8868,170921,182594,11673,301554,9774,230,12761,324319,3799,334584,6466,334584,334584,0,0,0,0,0,0,0,0,0,481,1708,2189,4379,2624,0,0,6568,2624,-3944,135295,0,18339,106689,547,278130,24967,105524,179148,490343,354951,51201,17181,9736,551280,551280,0,1952,1466,0,1952,1466,11187,14061,2388,0,15527,15527,79238,10774,274208,20248,110260,274208,152699,11249,274208,274208,0,5724,1107,547,3922,2607,9985,3922,11619,19278,1596,23200,23200,0,39058,0,4506,0,2112,105524,45676,105524,59848,0,105524,105524,0,11275,105223,0,0,11275,105223,119598,17862,1948,9736,132821,132821,0,43937,362093,16285,223621,40842,1800,2848,3207,103912,590721,539023,25408,0,26806,642935,642935,4707,83409,88116,110787,17885,4786,110787,110787,-53,17321,27016,34268,0,3207,34215,47544,42872,7523,0,22020,77087,77087,43990,239076,108,113196,6574,1800,2848,53520,354072,300552,0,354072,354072,0,100989,16177,0,16177,100989,84812,100989,100989,497568,15179,523227,0,0,512747,523227,91507,88360,11455,4122,615709,615709,31301,393,0,31694,530,32224,0,32224,32224,0,3890,142709,111304,3964,5401,6975,14447,153648,135042,2832,400,2617,2889,159097,138331,-20766,109347,7096,109347,7096,0,102251,0,0,109347,109347,464805,464805,0,464805,0,0,464805,464805,16562,4484,836,5320,16562,1574,5320,18136,12816,507723,507723,507723,507723,0,507723,507723,2214,2214,87,2301,2301,2301,54715,54715,2160,56875,56875,56875,1409,1409,397,1806,1806,1806,5418,5418,1530,6948,6948,6948,19495,3568,4756,13287,5678,193235,377,72451,30306,282541,325697,76715,0,5356,356003,364612,8609
1966:Q4,2272163,314422,66432,60981,2713998,1415209,61776,4190983,-116,376022,1558132,500431,199283,2633868,1445429,111570,4190867,376022,486038,500431,199283,1561774,1335788,50500,2948062,905,0,905,0,13977,0,1647,14882,1647,-13235,0,0,0,0,0,3963,3963,6161,6161,3963,-2198,0,885,885,0,885,885,885,0,27927,28162,4444,32371,28162,-4209,93353,50584,6370,10691,160998,6564,193589,9225,176787,193589,16802,307135,8603,220,13462,329420,3952,339785,6413,339785,339785,0,0,0,0,0,0,0,0,0,895,805,1700,4834,2858,0,0,6534,2858,-3676,137202,0,18572,109096,1355,284318,24583,106633,181712,500047,365154,54210,17261,9870,564127,564127,0,2852,1622,0,2852,1622,12220,15662,2212,0,17284,17284,79080,11054,280293,20097,110231,280293,158910,11152,280293,280293,0,5850,1027,1355,4025,2361,10593,4025,11970,20218,1680,24243,24243,0,41151,0,3639,0,2125,106633,46915,106633,59718,0,106633,106633,0,11121,107474,0,0,11121,107474,122336,18330,2217,9870,135674,135674,0,44552,368393,17499,229106,41448,1783,2888,3404,106387,602686,551394,27688,0,27407,657781,657781,5378,86011,91389,116906,20715,4802,116906,116906,-65,17891,28043,34557,0,3404,34492,49338,44424,6973,0,22605,78916,78916,44617,241702,114,115052,6891,1783,2888,54510,358537,304027,0,358537,358537,0,103422,17385,0,17385,103422,86037,103422,103422,531417,16847,547891,0,0,548264,547891,99517,108209,12643,4324,660424,660424,33850,425,0,34275,554,34829,0,34829,34829,0,3970,141759,115347,4371,5831,7244,14849,153374,139997,2898,410,2843,3011,159115,143418,-15697,110568,7120,110568,7120,0,103448,0,0,110568,110568,475690,475690,0,475690,0,0,475690,475690,17414,6057,856,6913,17414,1741,6913,19155,12242,518534,518534,518534,518534,0,518534,518534,2207,2207,89,2296,2296,2296,54524,54524,2222,56746,56746,56746,1474,1474,372,1846,1846,1846,5669,5669,1432,7101,7101,7101,19863,3659,1622,13601,5706,197416,452,74397,27643,289073,329966,73006,0,5384,357609,367463,9855
1967:Q1,2370271,313403,68154,61494,2813323,1441322,65976,4320621,-2478,375812,1643270,506926,202480,2728488,1475868,113787,4318143,375812,489077,506926,202480,1574295,1357530,50837,2982662,620,0,620,0,13235,0,671,13855,671,-13184,0,0,0,0,0,4176,4176,6348,6348,4176,-2172,0,951,951,0,951,951,951,0,25878,23994,3806,29684,23994,-5690,92714,47501,7334,10771,158320,6465,185764,9130,173915,185764,11849,317399,9556,250,15000,342205,4079,353136,6852,353136,353136,0,0,0,0,0,0,0,0,0,568,20,588,5342,3633,0,0,5930,3633,-2297,135430,0,18078,113294,1769,286804,24322,107874,179599,507972,376578,55925,17879,10159,574056,574056,0,3495,2677,0,3495,2677,14511,17557,2228,0,20234,20234,77816,10445,281315,20115,108376,281315,161432,11507,281315,281315,0,5837,793,1769,5489,2074,10473,5489,12990,19738,1764,25227,25227,0,39687,0,3345,0,2133,107874,45165,107874,62709,0,107874,107874,0,12090,110617,0,0,12090,110617,124936,18630,2380,10159,139406,139406,0,45721,368006,16163,232470,43017,1770,2922,3414,107823,605660,550508,24183,0,28488,658331,658331,4488,86646,91134,114065,18190,4741,114065,114065,762,18796,29106,35964,0,3414,36726,51316,44330,5993,0,23747,81056,81056,44959,243374,115,116718,7053,1770,2922,55049,361862,306813,0,361862,361862,0,101348,16048,0,16048,101348,85300,101348,101348,598899,18608,625556,0,0,617507,625556,113819,116897,16002,4875,747328,747328,38226,469,0,38695,585,39280,0,39280,39280,0,4070,142910,111230,4868,5723,7112,15266,154890,136289,2964,420,3150,3242,161004,139951,-21053,111833,7144,111833,7144,0,104689,0,0,111833,111833,486804,486804,0,486804,0,0,486804,486804,16730,4998,890,5888,16730,2193,5888,18923,13035,522811,522811,522811,522811,0,522811,522811,2258,2258,92,2350,2350,2350,55795,55795,2280,58075,58075,58075,1515,1515,375,1890,1890,1890,5826,5826,1441,7267,7267,7267,20434,3736,546,13837,5298,201309,457,75926,26735,294808,333149,77134,0,4976,359884,376918,17034
1967:Q2,2403519,314695,63233,62388,2843835,1472899,70238,4386972,-1125,383147,1671455,504370,207075,2766047,1503520,116280,4385847,383147,495823,504370,207075,1590415,1388760,52429,3031604,645,0,645,0,13629,0,1105,14274,1105,-13169,0,0,0,0,0,4394,4394,6456,6456,4394,-2062,0,843,843,0,843,843,843,0,25757,24597,3630,29387,24597,-4790,93542,49438,8451,10821,162252,6619,191704,9121,177992,191704,13712,328252,8777,270,15668,352967,4244,364444,7233,364444,364444,0,0,0,0,0,0,0,0,0,667,0,667,6022,4444,0,0,6689,4444,-2245,130988,0,15334,117478,1737,279856,24265,110195,172324,507529,382414,55073,18260,10396,572998,572998,0,3418,3242,0,3418,3242,15127,17537,2234,0,20779,20779,74762,7908,272756,20003,102673,272756,158546,11537,272756,272756,0,5716,686,1737,7100,2126,10265,7100,14260,19273,1848,26373,26373,0,38330,0,3322,0,2136,110195,43788,110195,66407,0,110195,110195,0,12180,114236,0,0,12180,114236,128074,18263,2641,10396,142895,142895,0,46643,375100,16736,239073,43841,1755,2948,3464,110168,619392,562719,24318,0,29177,672887,672887,5045,90555,95600,118872,18717,4555,118872,118872,1299,19647,29103,36689,0,3464,37988,52214,44449,5601,0,24622,82437,82437,45344,246277,113,119415,7152,1755,2948,55557,367447,311890,0,367447,367447,0,104131,16623,0,16623,104131,87508,104131,104131,604594,18388,641312,0,0,622982,641312,117411,113318,19156,4919,759549,759549,39284,523,0,39807,622,40429,0,40429,40429,0,4240,144541,112449,5435,6141,7256,15685,157232,138515,3031,430,3461,3378,163724,142323,-21401,113070,7168,113070,7168,0,105902,0,0,113070,113070,497993,497993,0,497993,0,0,497993,497993,11296,-2588,932,-1656,11296,1385,-1656,12681,14337,528319,528319,528319,528319,0,528319,528319,2290,2290,95,2385,2385,2385,56591,56591,2341,58932,58932,58932,1560,1560,375,1935,1935,1935,6000,6000,1442,7442,7442,7442,20833,3807,567,13967,5442,205056,498,77731,27340,300561,341539,77666,0,5145,368879,383372,14493
